,RankTHE,Name,No. of FTE students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
99,=99,RWTH Aachen University,"39,738",50.0,28%,33 : 67,63.4,56.8,64.5,66.1,93.8,65.1
100,=101,University of Basel,"8,632",10.9,30%,57 : 43,63.0,47.0,44.1,86.5,99.2,96.8
101,=101,King Abdulaziz University,"31,545",7.8,22%,54 : 46,63.0,51.7,36.7,91.9,74.2,93.6
102,=101,University of Minnesota,"61,009",12.0,10%,54 : 46,63.0,55.1,56.9,81.2,77.8,41.7
103,=104,"University of Maryland, College Park","33,775",16.5,11%,49 : 51,62.9,48.1,57.7,89.7,40.0,42.6
104,=104,University of Warwick,"23,230",13.1,44%,50 : 50,62.9,44.8,49.6,88.1,42.7,94.9
105,106,Michigan State University,"45,465",16.0,13%,52 : 48,62.8,56.2,55.6,78.8,39.9,61.9
106,107,Ghent University,"39,437",35.6,12%,57 : 43,62.7,48.6,60.1,77.8,80.0,63.9
107,=108,University of Birmingham,"31,820",15.0,34%,58 : 42,62.6,40.5,46.2,95.2,42.3,92.2
108,=108,University of Southampton,"21,175",13.7,39%,53 : 47,62.6,41.4,47.5,92.3,44.1,94.6
109,110,University of Helsinki,"23,059",15.8,5%,67 : 33,62.5,45.9,58.5,86.6,39.1,57.0
110,111,Université de Montréal,"38,189",20.8,22%,,62.3,50.9,53.2,75.8,76.5,85.5
111,112,Ohio State University (Main campus),"55,814",11.8,13%,51 : 49,62.2,53.0,51.2,83.4,55.3,60.3
112,113,University of Freiburg,"20,253",37.2,17%,53 : 47,61.9,47.8,52.8,80.8,96.2,67.3
113,=114,University of Copenhagen,"31,519",4.2,16%,62 : 38,61.7,45.1,47.5,87.2,55.0,84.7
114,=114,Université Paris Cité,"62,747",17.0,19%,65 : 35,61.7,51.5,44.8,89.3,37.3,68.3
115,=114,University of Sheffield,"27,465",14.5,41%,53 : 47,61.7,43.6,46.4,89.5,47.4,88.5
116,117,Aarhus University,"26,475",13.5,10%,55 : 45,61.2,40.6,60.0,77.6,74.1,77.9
117,118,University of Alberta,"32,338",21.6,28%,,61.1,48.8,52.7,72.9,82.7,89.2
118,=119,University of Göttingen,"30,221",26.0,14%,52 : 48,61.0,46.3,53.8,83.9,40.1,63.0
119,=119,Lund University,"28,545",11.5,18%,55 : 45,61.0,40.5,55.5,81.0,79.5,78.5
120,121,Vrije Universiteit Amsterdam,"29,796",19.8,16%,56 : 44,60.9,38.4,52.2,87.5,59.1,79.4
121,122,Lancaster University,"14,380",12.8,39%,51 : 49,60.8,38.7,40.0,96.9,38.3,94.9
122,123,Dartmouth College,"6,440",7.8,15%,49 : 51,60.7,59.8,40.4,88.2,40.0,42.0
123,=124,Queen Mary University of London,"20,505",13.1,46%,55 : 45,60.4,34.3,41.3,97.7,44.0,97.1
124,=124,University of Vienna,"35,929",42.9,29%,66 : 34,60.4,49.4,59.3,65.1,44.8,95.8
125,126,University of Oslo,"21,548",13.3,15%,66 : 34,60.2,40.1,48.5,89.0,44.5,77.0
126,127,Purdue University West Lafayette,"44,551",16.9,20%,44 : 56,60.1,55.9,64.2,56.9,67.8,71.1
127,=128,University of Hamburg,"30,676",61.5,12%,58 : 42,59.8,46.5,54.4,75.4,96.1,60.4
128,=128,University of Leeds,"33,990",14.6,36%,60 : 40,59.8,46.0,47.8,79.3,40.5,91.8
129,130,University of Nottingham,"32,875",15.1,31%,54 : 46,59.6,41.8,44.1,86.6,41.7,90.4
130,=131,University of Antwerp,"15,857",32.2,17%,56 : 44,59.4,36.4,46.2,90.4,83.5,71.8
131,=131,The University of Western Australia,"18,405",21.3,28%,49 : 51,59.4,34.9,48.1,85.6,69.2,94.4
132,133,University of Technology Sydney,"27,481",35.1,31%,50 : 50,59.3,36.9,42.1,90.5,49.7,96.0
133,134,Case Western Reserve University,"10,934",8.2,20%,51 : 49,59.0,48.4,40.6,90.7,43.4,52.9
134,135,University of Lausanne,"13,401",10.2,23%,,58.7,35.8,47.6,83.0,72.3,92.3
135,136,Georgetown University,"16,074",8.0,19%,54 : 46,58.6,55.5,35.0,88.0,54.0,49.1
136,=137,University of Exeter,"24,165",15.9,29%,53 : 47,58.5,32.4,41.3,94.8,39.2,92.7
137,=137,University of Ottawa,"36,670",26.0,24%,58 : 42,58.5,41.7,45.4,82.6,51.0,84.1
138,=139,University of Auckland,"33,093",22.1,32%,56 : 44,58.4,36.8,44.3,85.4,56.4,94.3
139,=139,Newcastle University,"25,590",15.1,29%,52 : 48,58.4,33.3,40.0,96.0,41.8,87.8
140,=139,Radboud University Nijmegen,"21,979",17.6,13%,56 : 44,58.4,34.9,51.6,85.5,48.0,74.7
141,=139,University of Würzburg,"23,754",40.7,10%,58 : 42,58.4,40.7,45.2,87.8,79.4,57.3
142,=139,University of York,"17,665",14.4,28%,56 : 44,58.4,39.3,44.0,85.9,38.4,88.7
143,144,University of Pittsburgh-Pittsburgh campus,"26,575",5.5,11%,55 : 45,58.3,46.2,42.9,90.6,44.2,43.4
144,145,Maastricht University,"19,909",18.6,56%,60 : 40,58.2,38.4,49.6,75.5,73.2,98.1
145,146,University of Cologne,"33,341",30.4,16%,,58.0,44.5,46.5,80.0,77.3,64.4
146,147,Rice University,"7,068",9.2,28%,43 : 57,57.9,46.5,39.7,84.4,44.5,75.3
147,=148,University of Colorado Boulder,"34,928",16.0,8%,45 : 55,57.8,45.6,46.3,85.5,44.6,45.6
148,=148,Ulm University,"10,271",26.2,13%,51 : 49,57.8,41.6,41.2,89.3,77.6,56.1
149,=148,Uppsala University,"25,548",15.3,17%,62 : 38,57.8,37.6,55.7,75.2,71.5,72.6
150,=151,University of Florida,"46,807",16.1,8%,56 : 44,57.7,55.0,58.7,64.2,51.4,41.4
151,=151,Penn State (Main campus),"46,863",14.0,16%,47 : 53,57.7,47.8,53.8,75.2,41.6,48.3
152,=151,Tufts University,"11,399",10.0,16%,56 : 44,57.7,47.1,36.7,92.2,43.4,51.4
153,154,University of Rochester,"10,364",7.7,36%,50 : 50,57.6,42.0,40.5,87.0,49.3,73.8
154,155,KTH Royal Institute of Technology,"13,329",16.4,20%,34 : 66,57.5,43.5,53.8,68.4,68.1,81.1
155,=156,Arizona State University (Tempe),"50,027",19.6,17%,45 : 55,57.4,44.8,47.9,79.6,40.2,62.5
156,=156,Technical University of Berlin,"20,243",48.1,27%,35 : 65,57.4,48.8,55.7,62.0,92.6,67.8
157,=156,TU Dresden,"30,382",30.8,16%,45 : 55,57.4,48.8,50.7,69.1,92.4,60.5
158,=156,University of Virginia (Main campus),"25,810",9.0,13%,53 : 47,57.4,48.1,39.8,86.6,45.8,52.5
159,160,University of Cape Town,"21,069",12.8,15%,54 : 46,57.2,33.9,43.8,88.7,53.3,78.8
160,=161,University of Bologna,"69,831",24.4,12%,56 : 44,57.0,52.1,40.8,80.2,46.4,51.6
161,=161,Trinity College Dublin,"17,764",21.0,28%,60 : 40,57.0,36.0,47.3,79.4,47.1,93.7
162,=163,University of Leicester,"14,650",14.1,34%,54 : 46,56.9,31.4,32.9,98.7,41.9,92.5
163,=166,Southern University of Science and Technology (SUSTech),"5,137",8.8,1%,,56.8,29.8,42.9,95.5,77.9,59.0
164,=166,Technical University of Denmark,"9,599",6.9,26%,32 : 68,56.8,40.4,44.9,73.2,86.0,94.0
165,=168,Medical University of Graz,"3,722",14.1,27%,53 : 47,56.6,29.4,34.4,96.8,98.1,79.0
166,=168,"Northeastern University, US","21,211",14.6,36%,48 : 52,56.6,39.9,30.2,96.2,40.1,76.3
167,=170,Indiana University,"66,637",12.6,13%,53 : 47,56.5,45.5,39.4,85.5,53.6,54.3
168,=170,Université Catholique de Louvain,"24,523",36.0,20%,54 : 46,56.5,39.9,50.4,72.8,57.7,82.3
169,=170,Sungkyunkwan University (SKKU),"23,399",19.4,18%,,56.5,52.8,54.0,59.4,98.3,56.4
170,173,Wuhan University,"55,412",15.2,6%,,56.4,43.5,40.5,89.2,69.4,35.3
171,174,Ulsan National Institute of Science and Technology (UNIST),"3,896",13.6,9%,27 : 73,56.3,41.3,42.0,85.9,89.9,43.7
172,175,Macquarie University,"30,561",69.0,27%,52 : 48,56.2,38.7,44.6,76.1,64.9,89.8
173,=176,Huazhong University of Science and Technology,"57,167",16.2,4%,,56.1,42.2,42.6,88.8,83.2,25.5
174,=176,University of Liverpool,"26,350",14.2,36%,55 : 45,56.1,33.2,37.7,89.4,39.6,94.1
175,=176,Stockholm University,"30,365",20.7,7%,,56.1,29.7,50.4,87.1,38.3,66.3
176,179,University of Mannheim,"7,684",58.2,13%,,56.0,40.0,48.2,79.0,61.0,57.4
177,180,University of Arizona,"39,797",17.0,9%,54 : 46,55.9,45.8,47.0,78.7,52.1,41.3
178,181,Texas A&amp;M University,"62,931",21.3,8%,47 : 53,55.8,50.2,54.8,63.2,45.1,56.0
179,182,University of Barcelona,"45,004",15.8,11%,63 : 37,55.7,33.1,43.4,89.9,50.2,59.9
180,=183,Autonomous University of Barcelona,"31,933",12.7,16%,60 : 40,55.6,35.1,38.8,91.1,43.0,67.1
181,=183,Scuola Normale Superiore di Pisa,629,7.6,13%,28 : 72,55.6,56.7,36.5,74.8,38.2,56.4
182,185,University of Münster,"28,014",25.4,7%,,55.5,43.4,43.9,81.4,48.9,49.2
183,186,Pompeu Fabra University,"11,965",22.4,13%,60 : 40,55.4,32.6,39.4,91.5,46.2,68.9
184,=187,Cardiff University,"27,105",14.3,28%,59 : 41,55.2,31.1,38.9,88.5,41.5,88.3
185,=187,National Taiwan University (NTU),"25,215",11.4,11%,42 : 58,55.2,50.2,55.5,60.1,75.1,47.2
186,=189,Friedrich Schiller University Jena,"16,446",20.6,14%,,55.0,42.4,39.9,81.3,49.7,62.8
187,=189,Karlsruhe Institute of Technology,"22,673",21.6,20%,29 : 71,55.0,46.7,54.2,57.8,89.7,68.6
188,191,University of Massachusetts,"63,338",13.2,14%,49 : 51,54.9,41.2,33.5,87.8,51.7,65.0
189,=192,University of Aberdeen,"13,205",16.2,44%,58 : 42,54.8,30.7,34.1,89.8,47.5,95.9
190,=192,"University of California, Santa Cruz","19,266",22.6,14%,47 : 53,54.8,32.6,33.3,95.9,46.2,67.9
191,=194,Medical University of Vienna,"7,274",8.4,33%,50 : 50,54.6,35.0,27.6,94.0,61.2,81.7
192,=194,University of Miami,"17,009",10.8,16%,53 : 47,54.6,48.4,33.5,81.0,48.3,60.2
193,=196,University of Erlangen-Nuremberg,"30,303",43.4,13%,51 : 49,54.5,44.6,47.5,68.8,90.7,53.5
194,=196,Sichuan University,"49,543",15.8,6%,,54.5,57.1,58.6,48.6,93.4,38.7
195,=198,Durham University,"18,425",14.1,35%,54 : 46,54.4,40.0,44.6,70.0,39.4,94.3
196,=198,Queen’s University Belfast,"19,060",15.8,39%,57 : 43,54.4,31.1,37.9,84.4,41.6,97.4
197,=198,University of Reading,"15,720",16.4,32%,56 : 44,54.4,36.5,39.6,78.5,42.2,93.3
198,201-250,Aalto University,"13,306",19.7,21%,38 : 62,51.2–54.3,38.3,40.4,67.5,53.2,81.9
199,201-250,University of Bergen,"15,202",12.8,10%,60 : 40,51.2–54.3,30.2,32.7,85.7,41.7,76.4
200,201-250,Bielefeld University,"24,875",66.6,7%,58 : 42,51.2–54.3,33.1,42.4,84.2,42.9,48.5
201,201-250,University of Calgary,"33,560",18.7,21%,54 : 46,51.2–54.3,36.8,40.2,75.9,61.6,79.9
202,201-250,Curtin University,"29,999",20.8,31%,52 : 48,51.2–54.3,26.5,33.5,83.0,48.5,95.2
203,201-250,University of Dundee,"13,630",18.3,27%,64 : 36,51.2–54.3,25.8,30.5,90.3,49.5,85.4
204,201-250,University of East Anglia,"15,940",13.3,25%,58 : 42,51.2–54.3,27.0,29.7,95.0,37.7,86.4
205,201-250,Eindhoven University of Technology,"10,240",21.0,24%,,51.2–54.3,45.5,49.8,55.5,99.2,86.4
206,201-250,University of Geneva,"19,078",8.7,40%,62 : 38,51.2–54.3,34.7,35.4,81.8,48.2,98.6
207,201-250,George Washington University,"22,298",12.9,15%,62 : 38,51.2–54.3,47.0,32.8,83.2,38.7,56.9
208,201-250,University of Gothenburg,"20,891",10.7,12%,,51.2–54.3,29.3,43.6,87.9,47.1,65.1
209,201-250,University of Hohenheim,"8,714",39.7,14%,58 : 42,51.2–54.3,33.6,32.2,95.2,49.6,55.8
210,201-250,Humanitas University,"1,823",19.0,18%,59 : 41,51.2–54.3,28.3,28.8,99.7,39.4,62.9
211,201-250,King Fahd University of Petroleum and Minerals,"7,268",8.6,10%,2 : 98,51.2–54.3,31.4,35.9,80.3,91.8,76.7
212,201-250,University of Konstanz,"5,758",24.2,12%,60 : 40,51.2–54.3,42.0,46.4,62.9,62.6,67.9
213,201-250,Korea University,"22,507",15.8,27%,,51.2–54.3,46.8,48.7,61.5,95.3,55.8
214,201-250,Université Libre de Bruxelles,"28,290",49.3,31%,57 : 43,51.2–54.3,32.6,44.1,77.3,44.8,88.9
215,201-250,University of Luxembourg,"5,185",19.3,51%,53 : 47,51.2–54.3,38.2,39.8,64.5,51.2,99.4
216,201-250,University of Macau,"10,460",15.4,39%,55 : 45,51.2–54.3,31.6,36.0,78.5,44.2,99.3
217,201-250,Macau University of Science and Technology,"11,993",38.1,91%,57 : 43,51.2–54.3,35.4,30.7,79.2,50.1,99.7
218,201-250,Medical University of Innsbruck,"3,244",12.9,43%,54 : 46,51.2–54.3,29.9,30.2,88.8,95.3,88.4
219,201-250,University of Notre Dame,"12,401",10.9,13%,46 : 54,51.2–54.3,51.0,40.5,67.7,39.7,59.3
220,201-250,University of Padua,"48,524",29.3,8%,55 : 45,51.2–54.3,47.2,36.5,80.9,46.4,49.3
221,201-250,University of Potsdam,"14,993",39.6,14%,57 : 43,51.2–54.3,39.2,44.6,70.4,60.2,59.6
222,201-250,Qatar University,"9,084",8.8,35%,77 : 23,51.2–54.3,27.0,38.7,79.6,61.4,98.9
223,201-250,Queensland University of Technology,"35,278",37.9,17%,53 : 47,51.2–54.3,29.2,39.7,86.0,50.1,83.9
224,201-250,RCSI University of Medicine and Health Sciences,"2,563",24.2,70%,,51.2–54.3,31.4,37.3,76.9,50.7,94.7
225,201-250,Rutgers University – New Brunswick,"46,158",10.9,17%,53 : 47,51.2–54.3,43.5,43.6,73.0,43.1,53.9
226,201-250,"St George’s, University of London","3,490",13.2,20%,64 : 36,51.2–54.3,20.4,28.3,99.9,40.5,74.9
227,201-250,Sant’Anna School of Advanced Studies – Pisa,"1,100",14.0,19%,41 : 59,51.2–54.3,43.3,40.2,69.4,81.0,56.7
228,201-250,University of São Paulo,"82,010",15.9,4%,47 : 53,51.2–54.3,54.5,61.5,43.3,43.0,37.2
229,201-250,Sapienza University of Rome,"72,604",28.2,10%,60 : 40,51.2–54.3,52.4,44.9,67.7,53.0,43.5
230,201-250,Semmelweis University,"9,860",12.2,34%,69 : 31,51.2–54.3,44.7,18.0,87.9,43.3,77.1
231,201-250,University of South Florida,"39,907",18.6,13%,,51.2–54.3,31.1,36.9,85.1,85.0,56.2
232,201-250,University of St Andrews,"9,770",12.3,47%,59 : 41,51.2–54.3,40.0,41.4,67.8,38.9,94.9
233,201-250,University of Surrey,"14,960",16.9,36%,53 : 47,51.2–54.3,31.3,33.9,79.5,45.8,94.8
234,201-250,University of Sussex,"17,790",17.4,37%,55 : 45,51.2–54.3,28.0,34.2,89.0,39.0,93.1
235,201-250,Università della Svizzera italiana,"3,266",12.5,66%,47 : 53,51.2–54.3,28.0,23.3,91.4,55.7,99.5
236,201-250,University of Tartu,"9,235",12.0,13%,68 : 32,51.2–54.3,26.8,33.1,92.4,45.6,65.4
237,201-250,Tel Aviv University,"23,834",23.0,7%,57 : 43,51.2–54.3,39.4,51.2,72.0,43.8,56.0
238,201-250,Tohoku University,"17,812",12.4,14%,28 : 72,51.2–54.3,59.1,62.3,36.8,94.5,51.1
239,201-250,University College Dublin,"23,361",21.3,31%,,51.2–54.3,32.6,40.3,73.9,46.9,94.2
240,201-250,Vita-Salute San Raffaele University,"3,560",15.1,5%,61 : 39,51.2–54.3,37.6,27.8,99.7,38.2,45.2
241,201-250,Vrije Universiteit Brussel,"14,284",33.6,23%,57 : 43,51.2–54.3,36.6,43.6,67.4,60.1,77.3
242,201-250,University of Waterloo,"34,306",23.2,23%,48 : 52,51.2–54.3,36.8,46.4,71.0,47.3,87.5
243,201-250,Western University,"29,747",29.5,22%,56 : 44,51.2–54.3,40.7,42.1,67.9,79.9,85.6
244,201-250,Western Sydney University,"36,033",40.3,22%,58 : 42,51.2–54.3,25.8,31.7,87.6,44.1,87.9
245,201-250,University of Wollongong,"17,440",29.1,27%,54 : 46,51.2–54.3,31.4,38.2,74.8,57.2,94.0
246,251-300,Aalborg University,"16,818",14.7,14%,,48.9–51.1,29.5,43.3,73.2,51.5,76.4
